	Comparison	p.Value	BGC
124	Freshwater-Marine	0.368792637211557	butyrolactone
224	Terrestrial-Marine	0.0476314766358689	butyrolactone
424	Terrestrial-Freshwater	0.973295834224906	butyrolactone
125	Freshwater-Marine	0.935809753690803	LAP
225	Terrestrial-Marine	0.991103221967642	LAP
425	Terrestrial-Freshwater	0.966501353158006	LAP
126	Freshwater-Marine	0.623112158299873	T2PKS
226	Terrestrial-Marine	0.413852305804945	T2PKS
426	Terrestrial-Freshwater	0.871308104501584	T2PKS
127	Freshwater-Marine	0.740523629692937	PKS-like
227	Terrestrial-Marine	0.648546084670834	PKS-like
427	Terrestrial-Freshwater	0.999861683393805	PKS-like
128	Freshwater-Marine	0.90369563757241	CDPS
228	Terrestrial-Marine	0.988595970315931	CDPS
428	Terrestrial-Freshwater	0.988401768045623	CDPS
129	Freshwater-Marine	0.614061341241994	ladderane
229	Terrestrial-Marine	0.193968246209391	ladderane
429	Terrestrial-Freshwater	0.00213993174790239	ladderane
130	Freshwater-Marine	0.68429898219042	nucleoside
230	Terrestrial-Marine	0.66534298199029	nucleoside
430	Terrestrial-Freshwater	0.994412221708385	nucleoside
131	Freshwater-Marine	0.995856509091838	indole
231	Terrestrial-Marine	0.566218948529848	indole
431	Terrestrial-Freshwater	0.794057391319215	indole
132	Freshwater-Marine	0.270848393192329	transAT-PKS-like
232	Terrestrial-Marine	0.983771428948613	transAT-PKS-like
432	Terrestrial-Freshwater	0.111167951852339	transAT-PKS-like
133	Freshwater-Marine	0.718628354613299	microviridin
233	Terrestrial-Marine	0.850304251113283	microviridin
433	Terrestrial-Freshwater	0.0181711835935532	microviridin
134	Freshwater-Marine	0.619901611537187	sactipeptide
234	Terrestrial-Marine	0.152025422079779	sactipeptide
434	Terrestrial-Freshwater	0.0534352738596554	sactipeptide
135	Freshwater-Marine	0.108383117361406	proteusin
235	Terrestrial-Marine	0.538922847996573	proteusin
435	Terrestrial-Freshwater	0.716550318385993	proteusin
136	Freshwater-Marine	0.205224122871761	transAT-PKS
236	Terrestrial-Marine	0.76810244618073	transAT-PKS
436	Terrestrial-Freshwater	0.40442872507847	transAT-PKS
