ID	Ref
anoxic_mOTU_0954	GCA_903870015.1
anoxic_mOTU_2174	GCA_903906305.1
anoxic_mOTU_1526	GCA_903831745.1
anoxic_mOTU_2369	GCA_903826405.1
3300013006_43	GCA_903907745.1
3300022743_8	GCA_002454335.1
3300027835_59	GCA_001804205.1
anoxic_mOTU_0105	GCA_903898755.1
3300027649_12	GCA_903961015.1
3300027770_21	GCA_903961015.1
anoxic_mOTU_0476	GCA_903961015.1
anoxic_mOTU_1279	GCA_903919715.1
3300014613_10	GCA_002839315.1
3300029821_21	GCA_002839315.1
anoxic_mOTU_0466	GCA_903864185.1
3300015360_72	GCA_003105265.1
3300020213_28	GCA_003105265.1
3300020180_34	GCA_003105265.1
3300020192_38	GCA_003105265.1
3300020203_27	GCA_003105265.1
3300015360_94	GCA_002423205.1
3300013137_67	GCA_000405945.1
3300027815_35	GCA_000405945.1
3300027819_64	GCA_903843285.1
3300027819_74	GCA_003140915.1
3300027835_66	GCA_002779345.1
3300017505_17	GCA_900299345.1
anoxic_mOTU_1123	GCA_903865935.1
3300027749_59	GCA_903836325.1
anoxic_mOTU_0481	GCA_903836325.1
3300018013_17	GCA_903857265.1
3300018024_20	GCA_903857265.1
3300018025_16	GCA_903857265.1
3300025477_10	GCA_003170415.1
3300007519_74	GCA_003484585.1
3300027983_36	GCA_003484585.1
3300027832_63	GCA_003485825.1
3300017788_66	GCA_903837495.1
3300020196_45	GCA_903837495.1
3300020220_81	GCA_903837495.1
3300020603_72	GCA_903837495.1
3300021376_47	GCA_903837495.1
3300013005_49	GCA_903837495.1
anoxic_mOTU_2374	GCA_903837495.1
3300022752_37	GCA_903837495.1
anoxic_mOTU_0973	GCA_903825395.1
anoxic_mOTU_0807	GCA_903873905.1
anoxic_mOTU_0853	GCA_903879985.1
3300017505_23	GCF_000479045.1
3300027153_7	GCA_005791465.1
3300013132_94	GCA_005788265.1
3300014720_50	GCA_005788265.1
3300017453_13	GCA_005788265.1
3300020083_49	GCA_005788265.1
3300020179_47	GCA_005788265.1
3300020196_48	GCA_005788265.1
3300020198_52	GCA_005788265.1
3300020200_50	GCA_005788265.1
3300020222_65	GCA_005788265.1
3300020603_69	GCA_005788265.1
anoxic_mOTU_1679	GCA_903875575.1
3300007519_15	GCF_000427295.1
3300027848_57	GCA_013112545.1
3300007519_49	GCA_003531115.1
3300027832_43	GCA_003531115.1
3300027848_40	GCA_003531115.1
3300027300_6	GCA_002293105.1
3300010160_29	GCA_014190515.1
3300027760_16	GCA_014190515.1
3300013132_66	GCA_014190515.1
3300017788_52	GCA_014190515.1
3300029818_6	GCA_002840125.1
anoxic_mOTU_0049	GCF_003003055.1
anoxic_mOTU_1519	GCA_903888615.1
3300027823_33	GCA_002405435.1
3300027850_47	GCA_002405435.1
3300027823_48	GCA_903932685.1
3300013133_59	GCA_002402025.1
anoxic_mOTU_0220	GCA_903908285.1
3300014656_18	GCA_002422725.1
anoxic_mOTU_2578	GCA_003599865.1
3300024956_5	GCA_002440825.1
3300024952_1	GCA_002440825.1
3300024974_4	GCA_002440825.1
3300024950_3	GCA_002440825.1
3300024979_5	GCA_014377485.1
3300025428_8	GCA_013214525.1
3300009084_96	GCF_002319075.1
anoxic_mOTU_1716	GCA_903837525.1
3300013094_26	GCA_903881425.1
3300023174_71	GCA_002401785.1
3300027796_15	GCF_900156605.1
3300027800_19	GCF_900156605.1
anoxic_mOTU_1424	GCA_903921365.1
anoxic_mOTU_0221	GCA_903864275.1
anoxic_mOTU_1992	GCA_903913935.1
anoxic_mOTU_2379	GCA_903891475.1
anoxic_mOTU_0748	GCA_903829945.1
3300027899_14	GCA_003153355.1
3300028553_33	GCA_003158755.1
anoxic_mOTU_0552	GCA_903911355.1
3300013137_25	GCA_003598065.1
3300027835_34	GCA_002796325.1
3300027815_62	GCA_002779345.1
3300027815_70	GCA_002779345.1
3300013137_196	GCA_002345725.1
3300027760_27	GCA_009924095.1
3300017451_12	GCA_001795315.1
3300024333_14	GCA_001795315.1
3300017477_6	GCA_002688105.1
3300017526_42	GCA_013202445.1
3300017431_42	GCA_004375885.1
3300009083_43	GCA_014380065.1
3300020596_18	GCA_014380065.1
3300027878_38	GCA_014380065.1
3300013122_5	GCF_005221385.1
3300013126_25	GCA_012719345.1
3300010157_11	GCA_007280285.1
3300028569_29	GCA_002343545.1
3300009084_84	GCA_004293645.1
3300013125_8	GCA_002068935.1
3300013136_12	GCA_002068935.1
3300013137_12	GCA_002068935.1
3300013138_11	GCA_002068935.1
anoxic_mOTU_2732	GCA_903888485.1
anoxic_mOTU_1908	GCA_903899825.1
anoxic_mOTU_0820	GCA_903878475.1
anoxic_mOTU_1401	GCA_903858475.1
anoxic_mOTU_1717	GCA_903831575.1
anoxic_mOTU_1853	GCA_903871715.1
anoxic_mOTU_0960	GCA_903903925.1
3300027732_7	GCA_002293185.1
3300027756_15	GCA_002293185.1
3300027772_1	GCA_002293185.1
3300027892_39	GCA_002293185.1
3300013131_68	GCA_903928365.1
3300020179_39	GCA_009925805.1
3300020220_62	GCA_009925805.1
3300020221_60	GCA_009925805.1
3300021091_45	GCA_009925805.1
3300021092_35	GCA_009925805.1
3300017788_72	GCA_009918425.1
3300020190_70	GCA_009704345.1
3300020578_84	GCA_009704345.1
3300027730_44	GCA_009995365.1
3300000234_64	GCA_002698305.1
3300014203_32	GCA_002432275.1
3300027800_10	GCF_001262605.1
3300012682_32	GCF_003201565.1
3300020074_36	GCA_903933385.1
anoxic_mOTU_1062	GCA_003249785.1
anoxic_mOTU_1250	GCA_903936775.1
3300013128_49	GCA_002050035.1
3300020186_16	GCA_903861055.1
3300020192_20	GCA_903861055.1
3300020201_29	GCA_903861055.1
3300020219_19	GCA_903861055.1
3300027649_26	GCA_013450215.1
3300013093_38	GCA_903832025.1
anoxic_mOTU_1704	GCA_903832025.1
3300025376_2	GCA_003161855.1
3300025436_6	GCA_003161855.1
3300025476_7	GCA_003161855.1
anoxic_mOTU_3265	GCA_003161855.1
3300018018_15	GCA_003142295.1
3300027896_52	GCA_003142295.1
3300012000_4	GCA_002347925.1
3300012006_5	GCA_002347925.1
3300027760_13	GCA_002347925.1
3300027819_59	GCA_002685815.1
3300020197_37	GCA_009692925.1
3300005858_18	GCA_011373495.1
3300005858_26	GCA_002923335.1
3300027796_44	GCA_002428055.1
3300027815_41	GCA_001829715.1
anoxic_mOTU_0603	GCA_013791885.1
3300027796_43	GCF_000183725.1
3300027800_41	GCF_000183725.1
3300027719_37	GCA_002742695.1
3300027800_49	GCA_002742695.1
3300027841_15	GCA_002742695.1
anoxic_mOTU_0602	GCA_903892995.1
3300027819_48	GCF_003044035.1
3300027835_39	GCF_003044035.1
3300027819_61	GCA_002634395.1
3300027897_31	GCA_003105185.1
3300019742_4	GCA_000830175.1
3300019754_5	GCA_000830175.1
3300019760_7	GCA_000830175.1
3300000228_27	GCA_000830175.1
3300014162_15	GCA_004375875.1
3300007722_34	GCA_003670865.1
3300027976_36	GCA_003670865.1
3300027649_6	GCA_903877395.1
3300027782_6	GCA_903877395.1
anoxic_mOTU_2740	GCA_903877395.1
anoxic_mOTU_1329	GCA_903951635.1
3300027746_5	GCA_003669255.1
3300023179_71	GCA_002721975.1
3300028581_72	GCA_002721975.1
3300017788_30	GCA_014584305.1
3300020198_19	GCA_012729315.1
3300027137_4	GCA_002303765.1
3300027302_5	GCA_002303765.1
3300027489_5	GCA_002303765.1
3300027494_5	GCA_002303765.1
3300027697_4	GCA_002303765.1
anoxic_mOTU_0809	GCA_002303765.1
3300027719_55	GCA_900546745.1
3300027796_72	GCA_900313725.1
3300027800_74	GCA_900546745.1
3300007519_118	GCF_003366055.1
3300027832_115	GCF_003366055.1
3300007722_62	GCA_005788815.1
3300027983_46	GCA_005788815.1
3300010160_33	GCA_009700115.1
3300027656_9	GCA_009694565.1
3300027815_20	GCA_009693005.1
3300005662_6	GCA_903896675.1
anoxic_mOTU_0423	GCA_903896675.1
anoxic_mOTU_0450	GCA_903926465.1
anoxic_mOTU_0943	GCA_903833215.1
3300013126_50	GCA_903910645.1
3300013131_61	GCA_903910645.1
anoxic_mOTU_1672	GCA_903910645.1
3300020084_18	GCA_005798445.1
3300020193_11	GCA_005798445.1
3300020200_15	GCA_005798445.1
3300020222_26	GCA_005798445.1
3300020603_19	GCA_005798445.1
anoxic_mOTU_1392	GCA_903840265.1
anoxic_mOTU_2826	GCA_903840265.1
anoxic_mOTU_0630	GCA_903904835.1
anoxic_mOTU_1957	GCA_903899985.1
anoxic_mOTU_1164	GCA_903858935.1
anoxic_mOTU_1025	GCA_903871875.1
3300009083_47	GCA_011368275.1
anoxic_mOTU_2932	GCA_903861195.1
3300027770_3	GCA_903840265.1
anoxic_mOTU_1124	GCA_903840265.1
3300027843_17	GCA_013812505.1
anoxic_mOTU_2931	GCA_903892355.1
anoxic_mOTU_3353	GCA_903892355.1
3300027299_1	GCA_903820735.1
anoxic_mOTU_0668	GCA_903820735.1
anoxic_mOTU_1665	GCA_903858115.1
3300013131_18	GCA_903837255.1
3300013132_18	GCA_903837255.1
anoxic_mOTU_1580	GCA_903837255.1
anoxic_mOTU_2333	GCA_903892365.1
3300013004_33	GCA_001464795.1
3300013005_30	GCA_001464795.1
anoxic_mOTU_2292	GCA_903828635.1
3300007519_24	GCF_004348825.1
3300007722_13	GCF_004348825.1
3300027832_22	GCF_004348825.1
3300027976_20	GCF_004348825.1
anoxic_mOTU_2873	GCA_903861255.1
anoxic_mOTU_2719	GCA_903878115.1
3300014203_22	GCA_001604275.1
anoxic_mOTU_0298	GCA_011370045.1
3300020192_19	GCA_013360465.1
3300027878_46	GCA_013360465.1
3300009083_63	GCA_011047115.1
3300009084_79	GCA_011047115.1
3300027823_22	GCA_011047115.1
3300020192_16	GCA_010092805.1
3300027823_27	GCA_013360465.1
3300027878_44	GCA_013360465.1
3300020192_27	GCA_001567485.1
3300025409_10	GCA_001796965.1
3300025454_9	GCA_001796965.1
3300025477_8	GCA_001796965.1
3300025501_11	GCA_001796965.1
3300020074_67	GCA_001795035.1
3300027900_49	GCA_001795035.1
anoxic_mOTU_0635	GCA_903882935.1
anoxic_mOTU_2271	GCA_903907815.1
3300027819_40	GCA_002011475.1
3300027831_10	GCA_011056935.1
anoxic_mOTU_2059	GCA_903915655.1
3300013128_14	GCA_002070185.1
3300013133_25	GCA_002070185.1
3300014720_26	GCA_012031045.1
3300014199_13	GCA_003159495.1
anoxic_mOTU_1669	GCA_903910795.1
anoxic_mOTU_0595	GCA_001872165.1
anoxic_mOTU_0825	GCA_011370595.1
anoxic_mOTU_0788	GCA_903838415.1
anoxic_mOTU_1112	GCA_903875215.1
anoxic_mOTU_0582	GCA_903822545.1
anoxic_mOTU_2619	GCA_903846015.1
anoxic_mOTU_3620	GCA_903908605.1
anoxic_mOTU_3474	GCA_903854805.1
3300014060_29	GCA_001872455.1
anoxic_mOTU_0823	GCA_903863035.1
anoxic_mOTU_2036	GCA_903863035.1
3300014208_17	GCA_903863035.1
3300014060_39	GCA_002779995.1
anoxic_mOTU_1276	GCA_903922175.1
3300027851_70	GCA_002424575.1
3300013126_24	GCA_903837815.1
3300013138_53	GCA_009885525.1
3300013126_35	GCA_013388795.1
3300013125_114	GCA_903874345.1
3300014208_125	GCA_009885285.1
3300017463_4	GCA_002347155.1
3300017490_1	GCA_002347155.1
3300024333_11	GCA_002347155.1
anoxic_mOTU_1024	GCA_903884455.1
3300024054_58	GCA_000992305.1
3300017929_13	GCA_002071045.1
3300017940_15	GCA_002071045.1
3300018013_16	GCA_002071045.1
3300018019_11	GCA_002071045.1
3300018024_17	GCA_002071045.1
3300018026_13	GCA_002071045.1
3300020200_14	GCA_009691525.1
anoxic_mOTU_0854	GCA_903921725.1
3300020074_56	GCA_002482415.1
3300020220_60	GCA_002482415.1
3300009760_6	GCA_003165115.1
3300018030_14	GCA_003165115.1
3300025477_6	GCA_003165115.1
3300025460_6	GCA_003165115.1
3300025480_9	GCA_003165115.1
anoxic_mOTU_2772	GCA_903848645.1
anoxic_mOTU_0444	GCA_903866285.1
anoxic_mOTU_0541	GCA_903851135.1
3300021357_15	GCA_005239895.1
3300027819_183	GCA_001189165.1
3300018035_6	GCA_002840555.1
3300018043_8	GCA_002840555.1
3300018044_7	GCA_002840555.1
3300018046_10	GCA_002840555.1
3300017925_12	GCA_002479215.1
3300018008_10	GCA_002479215.1
3300018014_10	GCA_002479215.1
3300018016_11	GCA_002479215.1
3300018017_8	GCA_002479215.1
3300018019_13	GCA_002479215.1
3300018022_12	GCA_002479215.1
3300025459_10	GCA_002479215.1
3300025506_9	GCA_002479215.1
3300017532_17	GCA_903875445.1
3300027800_15	GCF_000233695.2
anoxic_mOTU_0520	GCA_011390435.1
3300029442_11	GCA_903890885.1
anoxic_mOTU_2913	GCA_903890885.1
anoxic_mOTU_1023	GCA_903845125.1
anoxic_mOTU_2501	GCA_903839985.1
3300019766_8	GCA_013388565.1
