GCF.fit_predict.clusterID	Others	RiPPs	NRPS	PKS	Terpene
gcf_160	1.0	0.0	0.0	0.0	0.0
gcf_161	1.0	0.0	0.0	0.0	0.0
gcf_162	0.0	0.0	1.0200250312891117	0.0	0.0
gcf_163	0.0	0.0	0.0	1.0	0.0
gcf_164	1.0008213552361396	0.0	0.0	0.0	0.0
gcf_165	1.0	0.0	0.0	0.0	1.0
gcf_166	0.0	1.0	1.0	2.0	0.0
gcf_167	1.0	0.0	0.0	0.0	0.0
gcf_168	0.0	0.0	1.0025252525252526	0.0	0.0
gcf_169	0.0	2.0	0.0	0.0	0.0
gcf_17	0.0	0.2	1.0	1.0	0.0
gcf_170	0.0	0.0	1.0	1.0	0.0
gcf_171	0.0	2.0	0.0	0.0	0.0
gcf_172	1.5	0.0	1.0	1.0	0.0
gcf_173	1.0	1.0	0.0	0.0	0.0
gcf_174	1.0	0.0	0.0	1.0	0.0
gcf_175	0.0	1.0	1.0	0.0	0.0
gcf_176	1.0	0.0	0.0	0.0	0.0
gcf_177	1.0	0.0	1.0	0.0	0.0
gcf_178	0.0	0.0	0.0	2.0	0.0
gcf_179	0.0	0.0	0.0	0.0	1.0
gcf_18	0.0	2.148148148148148	0.0	0.0	0.0
gcf_180	2.0	0.0	1.0	0.0	0.0
gcf_19	0.0	1.0	1.0	0.125	0.0
gcf_2	0.005649717514124294	0.0	1.0451977401129944	1.0	0.0
gcf_20	1.0909090909090908	0.0	0.0	0.0	1.0
gcf_21	1.0	0.0	1.0	0.05555555555555555	0.0
gcf_22	0.0	2.0434782608695654	0.0	0.0	0.0
gcf_23	1.0	2.5	0.0	0.0	0.0
gcf_24	1.0	0.0	0.3333333333333333	1.0	0.0
gcf_25	1.360655737704918	0.0	0.0	1.0	0.0
gcf_26	0.0	1.0	1.0	0.5714285714285714	0.0
gcf_27	1.0	0.0	1.5	1.0	0.0
gcf_28	1.5	1.0	0.0	0.0	0.0
gcf_29	0.0	1.5	1.0	0.0	0.0
gcf_3	0.0	2.0212765957446805	0.0	0.02127659574468085	0.0
gcf_30	1.5	0.0	0.0	0.0	1.0
gcf_31	0.0	0.0	0.6666666666666666	1.0	1.0
gcf_32	0.0	1.0	0.0	0.0	1.0
gcf_33	0.0	2.0	0.0	0.0	0.0
gcf_34	0.0	0.0	1.0	2.3333333333333335	0.0
gcf_35	0.0	1.0	0.0	0.0	0.0
gcf_36	2.011070110701107	0.0	0.0	0.0	0.0
gcf_37	1.0	0.0	0.0	1.125	0.0
gcf_38	0.5	1.0	1.0	1.0	0.0
gcf_39	0.0	0.0	0.0	2.0	0.0
gcf_4	1.0	0.0	1.0454545454545454	0.13636363636363635	0.0
gcf_40	2.0	0.0	0.75	0.0	0.0
gcf_41	0.0	0.0	0.75	2.0	0.0
gcf_42	1.3076923076923077	0.0	1.0	0.0	0.0
gcf_43	1.25	0.0	1.0	1.0	0.0
gcf_44	0.0	3.166666666666667	0.0	0.0	0.0
gcf_45	1.0	0.0	1.0	0.0	0.0
gcf_46	1.0	0.0	1.0	0.0	0.0
gcf_47	2.0	0.0	0.0	0.0	0.0
gcf_48	2.0	0.0	0.0	0.0	0.0
gcf_49	2.0	0.0	0.0	0.0	0.0
gcf_5	0.1111111111111111	1.0	0.0	1.0	0.0
gcf_50	2.0	0.0	0.0	0.0	0.0
gcf_51	2.0	0.0	0.0	0.0	0.0
gcf_52	2.0	0.0	0.0	0.0	0.0
gcf_53	0.0	0.0	1.6	3.0	0.0
gcf_54	1.0	0.0	1.0	0.0	0.0
gcf_55	1.0	0.0	0.0	1.0	0.0
gcf_56	2.0	0.0	0.0	0.0	0.0
gcf_57	1.0	0.0	1.0	0.5	0.0
gcf_58	1.0	0.0	0.0	1.0	0.0
gcf_59	1.0	0.0	0.0	0.0	1.0
gcf_6	0.0	0.0	0.5	2.0	0.0
gcf_60	1.5	0.0	0.0	1.0	0.0
gcf_61	1.5	0.0	0.0	1.0	0.0
gcf_62	1.0	0.0	1.0	0.0	0.0
gcf_63	0.0	1.0	0.0	1.0	0.0
gcf_64	1.0	0.0	0.0	0.0	1.0
gcf_65	1.0	0.0	0.0	0.0	0.0
gcf_66	0.0	2.0	0.0	0.0	0.0
gcf_67	0.0	1.0	0.0	0.0	0.0
gcf_68	1.0	0.0	0.0	1.0	0.0
gcf_69	0.0	1.0	0.0	0.0	0.0
gcf_7	1.0	0.0	1.0	0.43333333333333335	0.0
gcf_70	0.0	0.0	0.0	1.0	0.0
gcf_71	1.0	0.0	0.0	0.0	0.0
gcf_72	0.0	2.0	0.0	0.0	0.0
gcf_73	0.0	1.0	1.0	0.0	0.0
gcf_74	1.0	1.0	0.0	0.0	0.0
gcf_75	0.0	1.0	0.0	0.0	1.0
gcf_76	2.0	0.0	0.0	0.0	0.0
gcf_77	1.0	0.0	0.0	0.0	1.0
gcf_78	2.0	0.0	0.0	0.0	0.0
gcf_79	1.0	0.0	0.0	0.0	0.0
gcf_8	1.005681818181818	0.011363636363636364	0.0	1.0	0.022727272727272728
gcf_80	1.0	0.0	0.0	0.0	0.0
gcf_81	0.0	1.0	0.1	1.0	0.0
gcf_82	1.0018192844147968	0.0	0.0	0.0	0.0
gcf_83	0.0	0.0	1.0	0.0	1.0
gcf_84	1.75	0.0	1.0	1.0	0.0
gcf_85	2.0	0.5	0.0	1.0	0.0
gcf_86	1.0	0.0	1.0	0.0	0.0
gcf_87	0.0	0.0	1.0	1.0	0.0
gcf_88	0.0	0.0	0.0	2.0	0.0
gcf_89	1.0	0.0	0.0	0.0	0.0
gcf_9	0.004282655246252678	0.0	1.021413276231263	1.0256959314775158	0.0
gcf_90	2.0	1.0	1.0	0.0	0.0
gcf_91	0.0	0.0	1.0	1.0	0.0
gcf_92	1.0	1.0	0.0	0.0	0.0
gcf_93	1.0	1.0	0.0	0.0	0.0
gcf_94	0.0	1.0	0.0	0.0	0.0
gcf_95	1.0	0.0	0.0	0.0	0.0
gcf_96	1.0	0.0	0.0	1.0	0.0
gcf_97	2.0	0.0	0.0	1.0	0.0
gcf_98	1.0	0.0	0.0	1.0	0.0
gcf_99	2.0	0.0	0.0	0.0	0.0
