ID	siderophore	cyanobactin	PpyS-KS	TfuA-related	furan	terpene	RaS-RiPP	lassopeptide	head_to_tail	hserlactone	PUFA	T1PKS	phosphoglycolipid	T3PKS	ectoine	transAT-PKS	hglE-KS	LAP	phenazine	NRPS	bottromycin	PKS-like	PBDE	T2PKS	linaridin	sactipeptide	acyl_amino_acids	tropodithietic-acid	nucleoside	NAGGN	butyrolactone	microviridin	betalactone	amglyccycl	proteusin	resorcinol	oligosaccharide	indole	other	ladderane	thiopeptide	CDPS	lanthipeptide	bacteriocin	arylpolyene	transAT-PKS-like	NRPS-like	phosphonate	GCF.fit_predict.clusterID	GCC.fit_predict.clusterID	Genome_id	Kingdom	Phylum	Class	Order	Family	Genus	Species	OTU	Freeliving	PhylumT
Freshwater_OTU_0018	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GC_170	GC_0	3300014655_8	Freshwater:d__Bacteria	Freshwater:p__Spirochaetota	Freshwater:c__Spirochaetia	Freshwater:o__JABEVK01	Freshwater:f__JABEVK01	Freshwater:g__	Freshwater:s__	Freshwater_OTU_0018	Freshwater	Freshwater:Others
Freshwater_OTU_0019	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	GC_233	GC_0	3300015370_23	Freshwater:d__Bacteria	Freshwater:p__Proteobacteria	Freshwater:c__Gammaproteobacteria	Freshwater:o__Xanthomonadales	Freshwater:f__Wenzhouxiangellaceae	Freshwater:g__	Freshwater:s__	Freshwater_OTU_0019	Freshwater	Freshwater:p__Proteobacteria
Freshwater_OTU_0020	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	GC_9	GC_0	3300015370_25	Freshwater:d__Bacteria	Freshwater:p__Bacteroidota	Freshwater:c__Bacteroidia	Freshwater:o__Flavobacteriales	Freshwater:f__Flavobacteriaceae	Freshwater:g__UM-FILTER-40-17	Freshwater:s__	Freshwater_OTU_0020	Freshwater	Freshwater:p__Bacteroidota
Freshwater_OTU_0021	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GC_203	GC_0	3300017431_14	Freshwater:d__Bacteria	Freshwater:p__Bacteroidota	Freshwater:c__Ignavibacteria	Freshwater:o__Ignavibacteriales	Freshwater:f__Ignavibacteriaceae	Freshwater:g__IGN2	Freshwater:s__	Freshwater_OTU_0021	Freshwater	Freshwater:p__Bacteroidota
Freshwater_OTU_0022	0.0	0.0	0.0	0.0	0.0	1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GC_170	GC_0	3300020603_69	Freshwater:d__Bacteria	Freshwater:p__Bacteroidota	Freshwater:c__Bacteroidia	Freshwater:o__Chitinophagales	Freshwater:f__Chitinophagaceae	Freshwater:g__SXYR01	Freshwater:s__	Freshwater_OTU_0022	Freshwater	Freshwater:p__Bacteroidota
Freshwater_OTU_0023	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GC_170	GC_0	3300017453_4	Freshwater:d__Bacteria	Freshwater:p__Verrucomicrobiota	Freshwater:c__Verrucomicrobiae	Freshwater:o__Pedosphaerales	Freshwater:f__SXTU01	Freshwater:g__SXTU01	Freshwater:s__	Freshwater_OTU_0023	Freshwater	Freshwater:p__Verrucomicrobiota
Freshwater_OTU_0024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	GC_60	GC_2	3300019762_5	Freshwater:d__Bacteria	Freshwater:p__Proteobacteria	Freshwater:c__Gammaproteobacteria	Freshwater:o__Thiomicrospirales	Freshwater:f__Thiomicrospiraceae	Freshwater:g__Thiomicrorhabdus	Freshwater:s__Thiomicrorhabdus_indica	Freshwater_OTU_0024	Freshwater	Freshwater:p__Proteobacteria
Freshwater_OTU_0026	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	GC_324	GC_0	3300020198_19	Freshwater:d__Bacteria	Freshwater:p__Planctomycetota	Freshwater:c__Planctomycetes	Freshwater:o__Pirellulales	Freshwater:f__Pirellulaceae	Freshwater:g__	Freshwater:s__	Freshwater_OTU_0026	Freshwater	Freshwater:p__Planctomycetota
Freshwater_OTU_0027	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	1.4	0.6	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GC_257	GC_0	3300020596_21	Freshwater:d__Bacteria	Freshwater:p__Chloroflexota	Freshwater:c__Anaerolineae	Freshwater:o__SBR1031	Freshwater:f__A4b	Freshwater:g__GCA-2794515	Freshwater:s__	Freshwater_OTU_0027	Freshwater	Freshwater:p__Chloroflexota
Freshwater_OTU_0028	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	GC_170	GC_0	3300021424_28	Freshwater:d__Bacteria	Freshwater:p__Planctomycetota	Freshwater:c__Phycisphaerae	Freshwater:o__Phycisphaerales	Freshwater:f__SM1A02	Freshwater:g__F1-60-MAGs104	Freshwater:s__	Freshwater_OTU_0028	Freshwater	Freshwater:p__Planctomycetota
Freshwater_OTU_0030	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GC_170	GC_0	3300027162_6	Freshwater:d__Bacteria	Freshwater:p__Proteobacteria	Freshwater:c__Alphaproteobacteria	Freshwater:o__UBA2400	Freshwater:f__UBA2400	Freshwater:g__UBA2400	Freshwater:s__	Freshwater_OTU_0030	Freshwater	Freshwater:p__Proteobacteria
Freshwater_OTU_0031	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.6666666666666666	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	3.0	0.0	0.0	1.0	1.0	GC_468	GC_2	3300028275_1	Freshwater:d__Bacteria	Freshwater:p__Proteobacteria	Freshwater:c__Alphaproteobacteria	Freshwater:o__Reyranellales	Freshwater:f__Reyranellaceae	Freshwater:g__Reyranella	Freshwater:s__	Freshwater_OTU_0031	Freshwater	Freshwater:p__Proteobacteria
Freshwater_OTU_0032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	GC_111	GC_2	3300024917_6	Freshwater:d__Bacteria	Freshwater:p__Proteobacteria	Freshwater:c__Gammaproteobacteria	Freshwater:o__Xanthomonadales	Freshwater:f__Xanthomonadaceae	Freshwater:g__Thermomonas	Freshwater:s__	Freshwater_OTU_0032	Freshwater	Freshwater:p__Proteobacteria
Freshwater_OTU_0033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	GC_182	GC_2	3300024922_1	Freshwater:d__Bacteria	Freshwater:p__Proteobacteria	Freshwater:c__Gammaproteobacteria	Freshwater:o__Pseudomonadales	Freshwater:f__Pseudomonadaceae	Freshwater:g__Pseudomonas_E	Freshwater:s__Pseudomonas_E_sp000282415	Freshwater_OTU_0033	Freshwater	Freshwater:p__Proteobacteria
Freshwater_OTU_0034	0.0	0.0	0.0	1.0	0.0	0.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	GC_357	GC_2	3300024964_2	Freshwater:d__Bacteria	Freshwater:p__Proteobacteria	Freshwater:c__Gammaproteobacteria	Freshwater:o__Burkholderiales	Freshwater:f__Burkholderiaceae	Freshwater:g__Massilia	Freshwater:s__	Freshwater_OTU_0034	Freshwater	Freshwater:p__Proteobacteria
Freshwater_OTU_0035	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	GC_203	GC_0	3300025442_9	Freshwater:d__Bacteria	Freshwater:p__Desulfobacterota_B	Freshwater:c__Binatia	Freshwater:o__Binatales	Freshwater:f__Binataceae	Freshwater:g__Binatus	Freshwater:s__Binatus_soli	Freshwater_OTU_0035	Freshwater	Freshwater:Others
Freshwater_OTU_0036	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	GC_18	GC_0	3300025449_1	Freshwater:d__Bacteria	Freshwater:p__Proteobacteria	Freshwater:c__Gammaproteobacteria	Freshwater:o__Burkholderiales	Freshwater:f__Burkholderiaceae	Freshwater:g__Polynucleobacter	Freshwater:s__	Freshwater_OTU_0036	Freshwater	Freshwater:p__Proteobacteria
Freshwater_OTU_0037	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	GC_200	GC_2	3300025463_5	Freshwater:d__Bacteria	Freshwater:p__Acidobacteriota	Freshwater:c__Acidobacteriae	Freshwater:o__Acidobacteriales	Freshwater:f__Acidobacteriaceae	Freshwater:g__Terracidiphilus	Freshwater:s__	Freshwater_OTU_0037	Freshwater	Freshwater:Others
Freshwater_OTU_0038	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GC_170	GC_0	3300025466_8	Freshwater:d__Bacteria	Freshwater:p__Verrucomicrobiota	Freshwater:c__Verrucomicrobiae	Freshwater:o__Chthoniobacterales	Freshwater:f__UBA6821	Freshwater:g__UBA6821	Freshwater:s__UBA6821_sp903847935	Freshwater_OTU_0038	Freshwater	Freshwater:p__Verrucomicrobiota
Freshwater_OTU_0039	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	GC_484	GC_0	3300025576_8	Freshwater:d__Bacteria	Freshwater:p__Desulfobacterota	Freshwater:c__Syntrophobacteria	Freshwater:o__Syntrophobacterales	Freshwater:f__Syntrophobacteraceae	Freshwater:g__SbD1	Freshwater:s__	Freshwater_OTU_0039	Freshwater	Freshwater:Others
Freshwater_OTU_0040	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GC_170	GC_0	3300025648_13	Freshwater:d__Bacteria	Freshwater:p__Verrucomicrobiota	Freshwater:c__Verrucomicrobiae	Freshwater:o__Chthoniobacterales	Freshwater:f__UBA6821	Freshwater:g__UBA6821	Freshwater:s__	Freshwater_OTU_0040	Freshwater	Freshwater:p__Verrucomicrobiota
Freshwater_OTU_0041	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GC_170	GC_0	3300027128_6	Freshwater:d__Bacteria	Freshwater:p__Bacteroidota	Freshwater:c__Bacteroidia	Freshwater:o__Flavobacteriales	Freshwater:f__Flavobacteriaceae	Freshwater:g__Flavobacterium	Freshwater:s__	Freshwater_OTU_0041	Freshwater	Freshwater:p__Bacteroidota
Freshwater_OTU_0042	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GC_170	GC_0	3300027597_4	Freshwater:d__Bacteria	Freshwater:p__Verrucomicrobiota	Freshwater:c__Verrucomicrobiae	Freshwater:o__Pedosphaerales	Freshwater:f__UBA9464	Freshwater:g__SXXZ01	Freshwater:s__	Freshwater_OTU_0042	Freshwater	Freshwater:p__Verrucomicrobiota
Freshwater_OTU_0043	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GC_170	GC_0	3300027638_10	Freshwater:d__Bacteria	Freshwater:p__Actinobacteriota	Freshwater:c__Thermoleophilia	Freshwater:o__Solirubrobacterales	Freshwater:f__Thermoleophilaceae	Freshwater:g__JACCZP01	Freshwater:s__JACCZP01_sp013695885	Freshwater_OTU_0043	Freshwater	Freshwater:p__Actinobacteriota
Freshwater_OTU_0044	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	GC_159	GC_0	3300027722_3	Freshwater:d__Bacteria	Freshwater:p__Bacteroidota	Freshwater:c__Ignavibacteria	Freshwater:o__SJA-28	Freshwater:f__OLB5	Freshwater:g__RPQH01	Freshwater:s__RPQH01_sp003820375	Freshwater_OTU_0044	Freshwater	Freshwater:p__Bacteroidota
Freshwater_OTU_0048	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GC_170	GC_0	3300027760_16	Freshwater:d__Bacteria	Freshwater:p__Bacteroidota	Freshwater:c__Bacteroidia	Freshwater:o__Chitinophagales	Freshwater:f__Saprospiraceae	Freshwater:g__BJGN01	Freshwater:s__	Freshwater_OTU_0048	Freshwater	Freshwater:p__Bacteroidota
