GenomeID	Others	RiPPs	NRPS	PKS	Terpene
3300015204_21	2	1	1	0	1
3300014582_1	1	0	0	1	1
3300027856_15	0	0	0	0	1
3300024918_2	2	1	2	0	3
3300025890_27	0	0	0	1	3
GORG_SAMEA6076624_SAGS_AG447M10	0	0	0	0	1
3300011902_1	4	2	1	1	1
GORG_SAMEA6070529_SAGS_AG896E23	0	1	0	0	2
TARA_SAMEA4397295_METAG_PFKAPFFD	2	2	0	1	4
TARA_SAMEA2622695_METAG_GIMEDFFN	1	0	0	0	0
TARA_SAMEA2622710_METAG_NDJFNJPE	1	0	0	0	0
3300014208_47	0	0	0	0	2
TARA_SAMEA2591057_METAG_IGGGGNIE	0	0	0	0	2
GORG_SAMEA6079679_SAGS_AG426L19	0	0	0	0	1
3300025594_12	0	0	0	1	1
TARA_SAMEA4397920_METAG_MPANHKBB	1	0	0	0	1
3300011527_3	4	0	1	0	0
3300025680_6	0	0	0	0	1
3300024911_4	1	1	0	0	0
GORG_SAMEA6070245_SAGS_AG894O08	0	1	0	0	3
3300020463_18	2	0	0	0	0
BGEO_SAMN07136507_METAG_NAJFPCKG	0	0	0	0	1
3300027697_25	1	0	0	0	0
TARA_SAMEA2619952_METAG_LGPHDMJI	0	1	0	0	2
3300024344_11	2	2	2	0	1
3300011768_2	3	0	1	1	1
TARA_SAMEA2623673_METAG_NNKKAOGP	0	0	0	0	1
3300021376_39	0	0	0	0	1
3300017788_27	1	0	1	1	3
TARA_SAMEA2623116_METAG_IGOOBNLI	0	0	0	0	1
GORG_SAMEA6070255_SAGS_AG894P02	0	0	0	0	1
GORG_SAMEA6073184_SAGS_AG911K15	0	0	0	0	1
TARA_SAMEA2619399_METAG_EFLJOKDC	0	0	0	0	1
GORG_SAMEA6078478_SAGS_AG453G21	0	0	0	0	1
3300012864_9	5	4	0	1	1
3300025507_3	1	2	3	1	1
MARD_SAMEA4707912_REFG_MMP4707912	0	5	0	0	2
GORG_SAMEA6073630_SAGS_AG913O03	0	0	0	0	1
MARD_SAMN08886443_SAGS_MMP08886443	0	1	0	0	3
TARA_SAMEA2620979_METAG_OKCONOOP	1	0	0	0	0
3300025395_5	0	12	0	0	1
3300011205_5	1	2	1	0	0
3300000385_11	2	2	0	0	0
3300027582_22	0	0	0	0	2
TARA_SAMN05326640_METAG_ANE00020	0	0	0	0	1
TARA_SAMEA2621779_METAG_HEKBCCJH	0	0	1	0	0
3300011375_1	1	2	1	0	1
TARA_SAMEA2622901_METAG_NCAEHOPD	1	0	0	0	1
MARD_SAMN05418040_REFG_MMP05418040	4	1	1	0	0
3300024953_8	2	2	0	1	1
TARA_SAMEA2620824_METAG_IGMPJJKD	0	0	0	1	2
3300013850_1	4	1	0	0	1
TARA_SAMEA2621107_METAG_DHDPPCCI	0	1	0	0	0
3300019458_16	4	1	0	3	1
3300020198_29	0	1	0	0	1
3300027418_5	0	1	0	0	1
3300000232_8	0	1	2	1	1
3300017490_1	0	1	0	0	0
TARA_SAMEA2619907_METAG_KAMGMMEJ	1	0	0	0	0
MARD_SAMD00036602_REFG_MMP00036602	2	1	0	0	0
TARA_SAMEA2621401_METAG_PBJKAHMH	0	0	0	1	1
MARD_SAMN06134495_REFG_MMP06134495	6	1	0	0	0
3300026080_10	0	0	0	0	1
3300027892_34	0	2	0	1	1
3300018088_17	2	0	0	0	1
3300011760_2	3	3	0	0	1
3300013702_2	2	3	2	2	1
TARA_SAMEA2619840_METAG_GGHHFCNP	0	0	0	0	1
GORG_SAMEA6071533_SAGS_AG901G20	0	0	0	0	1
GORG_SAMEA6075642_SAGS_AG390D07	0	0	0	0	1
GORG_SAMEA6073915_SAGS_AG915C22	0	0	0	0	2
3300012277_2	0	2	0	0	1
MALA_SAMN05422111_METAG_BKBPFIPG	2	0	1	2	0
3300024289_1	1	0	0	2	2
3300025029_4	2	1	0	0	0
MARD_SAMN03968604_REFG_MMP03968604	4	2	1	0	0
GORG_SAMEA6077918_SAGS_AG337I02	0	0	0	0	1
GORG_SAMEA6069591_SAGS_AG891M22	0	0	0	0	1
3300009702_31	0	1	0	1	1
3300017518_42	1	1	0	0	2
3300021444_5	3	5	3	1	4
GORG_SAMEA6072277_SAGS_AG907E04	0	0	0	0	1
3300020398_18	1	1	2	1	0
GORG_SAMEA6077496_SAGS_AG325P23	0	0	0	0	1
TARA_SAMEA2621551_METAG_PDBJEGFH	1	0	3	2	2
TARA_SAMN05326644_METAG_PON00012	0	0	0	0	2
3300025705_19	2	1	0	0	1
3300018021_19	0	0	0	1	0
TARA_SAMEA4398094_METAG_LOFDCBHC	0	0	0	0	1
TARA_SAMEA2623463_METAG_ONLHDPLC	0	0	0	0	1
3300014609_4	0	1	0	0	0
TARA_SAMEA2623385_METAG_IEAKCHHM	1	1	0	1	2
3300027706_30	0	2	1	1	2
TARA_SAMEA2619782_METAG_LADEANHP	0	0	0	0	1
3300027123_2	4	1	0	0	2
TARA_SAMEA2622837_METAG_FLJJGFFL	0	0	0	0	2
3300025478_7	1	0	0	0	0
Genome_048	5	2	1	0	0
TARA_SAMEA2620815_METAG_FPJNEAAE	1	0	1	2	0
GORG_SAMEA6077286_SAGS_AG325E08	0	0	0	0	1
3300015370_20	2	0	0	2	1
3300006879_36	2	0	0	0	0
3300024257_14	0	0	0	0	1
TARA_SAMEA2619857_METAG_LKAHBEPF	3	0	0	1	0
TARA_SAMEA4396515_METAG_IJHFFIED	4	2	1	1	2
TARA_SAMEA2620666_METAG_PFOELOEF	1	0	0	0	1
GORG_SAMEA6069672_SAGS_AG892C11	0	0	0	0	1
3300027815_62	0	2	0	0	0
TARA_SAMEA2623135_METAG_CHDCOBLE	0	0	0	0	2
TARA_SAMEA2621003_METAG_CBAAICEI	1	0	0	0	0
3300011215_8	1	0	0	0	2
3300020278_14	0	3	0	0	1
TARA_SAMEA2622822_METAG_PGOHCJNJ	0	0	0	0	1
TARA_SAMEA4398009_METAG_AIEKCAPA	0	0	0	0	2
TARA_SAMEA2620882_METAG_KEPLEFPO	1	1	0	0	1
3300010371_48	0	1	0	0	0
3300014726_3	2	2	2	0	0
TARA_SAMEA2623463_METAG_LNFMOOHP	0	0	0	0	1
GORG_SAMEA6079597_SAGS_AG426F15	0	0	0	0	1
TARA_SAMEA2622021_METAG_OEBPDENL	0	0	0	0	1
3300011581_5	2	1	0	0	0
3300011744_3	2	0	1	0	0
3300013126_84	0	0	0	1	0
TARA_SAMEA2622766_METAG_CCDAFOBI	0	0	0	0	1
3300011525_1	2	2	3	1	0
3300013493_4	0	0	0	1	1
3300017526_11	1	0	1	0	0
GORG_SAMEA6072046_SAGS_AG905B19	0	0	0	0	1
3300011614_4	1	1	0	0	1
TARA_SAMEA2619907_METAG_KGLDPHNO	0	0	1	0	2
GORG_SAMEA6074103_SAGS_AG916A21	0	0	0	0	1
GORG_SAMEA6069592_SAGS_AG891N03	0	0	0	0	1
3300027284_18	3	0	1	1	2
MALA_SAMN05422175_METAG_LCAKIIIE	2	1	0	0	0
GORG_SAMEA6077679_SAGS_AG333K07	0	0	0	0	1
3300026281_6	0	0	2	0	2
MARD_SAMN07327772_REFG_MMP07327772	4	1	0	0	0
GORG_SAMEA6068692_SAGS_AG365D07	0	0	0	0	1
3300027276_30	1	1	1	0	0
3300011865_2	1	1	1	0	1
GORG_SAMEA6075216_SAGS_AG349G23	0	1	0	0	2
TARA_SAMEA4397842_METAG_IIIPANAC	0	0	0	0	1
3300015165_3	0	1	0	0	1
BGEO_SAMN07136523_METAG_APAOEKCM	0	1	0	0	0
TARA_SAMEA2622499_METAG_CDJKDFPA	1	0	0	1	0
3300014009_1	3	1	0	0	0
3300025286_11	3	1	0	0	0
3300009084_51	0	0	0	0	2
TARA_SAMEA2623826_METAG_GEPOICIM	0	0	1	1	0
3300026185_2	0	0	0	0	3
MARD_SAMN04965930_REFG_MMP04965930	7	1	1	0	0
3300014602_2	5	0	2	0	0
TARA_SAMEA2620035_METAG_FCOHJMAC	1	2	0	0	1
3300011921_1	0	1	1	0	0
3300022861_3	2	1	0	0	0
3300011832_4	3	1	0	0	1
3300001781_12	0	0	0	0	2
3300011165_2	5	1	1	0	1
TARA_SAMEA2619782_METAG_PAKDINJI	0	0	0	0	1
TARA_SAMN05326649_METAG_SOC00010	2	0	0	0	0
TARA_SAMEA4397983_METAG_BMCMPPJF	0	0	1	0	1
3300025668_16	0	2	0	0	1
3300026184_8	0	0	0	0	1
3300024961_3	3	3	5	2	0
3300009084_136	0	1	1	1	0
3300005529_36	1	3	0	0	1
3300012856_10	2	1	0	0	0
3300020222_29	0	0	0	2	0
GORG_SAMEA6069902_SAGS_AG893E11	0	0	0	0	1
TARA_SAMEA2619950_METAG_CNFEFPFA	3	0	1	3	0
TARA_SAMEA2621277_METAG_EMELNMCC	0	0	0	0	2
3300015198_21	0	0	0	0	1
3300027800_21	2	0	3	1	1
3300027962_19	0	1	0	0	0
3300027607_8	1	1	2	1	2
GORG_SAMEA6075772_SAGS_AG390L03	0	0	0	0	1
TARA_SAMEA4398150_METAG_MKEDNHKK	0	0	0	0	2
3300013823_1	6	0	1	0	0
3300025052_3	2	1	1	1	0
GORG_SAMEA6074298_SAGS_AG916P17	0	0	0	0	1
GORG_SAMEA6074253_SAGS_AG916M14	0	0	0	0	1
TARA_SAMEA2623734_METAG_OEAFOKKM	0	0	0	0	1
3300027607_47	0	0	0	0	2
3300023273_21	0	0	0	0	1
TARA_SAMEA2622841_METAG_BJPLAEIC	0	0	0	0	1
TARA_SAMEA4397174_METAG_MOJMLGLL	2	1	1	0	2
3300027712_31	0	0	0	0	1
3300025201_4	3	0	1	2	0
HOTS_SAMN07137059_METAG_GCHHNHBI	1	0	0	0	2
3300010153_7	0	0	0	0	1
TARA_SAMEA2621779_METAG_PCNIFPHJ	0	0	0	0	2
TARA_SAMEA2619952_METAG_GFIFJINL	0	0	0	0	1
3300017453_12	0	0	1	0	3
3300011616_1	0	1	0	0	0
3300025873_1	6	1	0	0	0
3300011578_1	2	2	0	1	1
3300001683_34	1	1	0	0	1
TARA_SAMEA4397666_METAG_ACOFDJEN	2	1	0	0	0
TARA_SAMEA2622837_METAG_HCCFFGLD	1	0	0	0	0
3300024964_7	1	2	0	0	1
GORG_SAMEA6070180_SAGS_AG894J16	0	0	0	0	1
3300018035_6	2	0	0	0	0
3300027806_19	0	0	1	1	2
3300026127_1	2	5	3	2	2
3300027839_15	0	0	1	0	1
TARA_SAMEA4398296_METAG_IMKPAFPC	0	0	0	0	1
3300017818_31	0	0	0	0	1
MALA_SAMN05422166_METAG_LIPHNDPD	1	0	0	1	1
MARD_SAMN08886397_SAGS_MMP08886397	0	1	0	0	3
MARD_SAMN08886275_SAGS_MMP08886275	0	1	0	0	3
3300025596_5	0	0	1	1	0
GORG_SAMEA6075638_SAGS_AG390D02	0	0	0	0	1
3300007722_41	2	1	3	0	1
3300025639_26	1	2	0	0	1
3300025478_4	4	0	0	1	0
3300011758_2	5	0	0	0	1
3300011675_1	5	0	1	0	1
3300012281_1	5	0	1	0	1
3300025416_3	0	0	0	0	1
3300011880_5	0	0	0	1	0
TARA_SAMEA2622766_METAG_OHOJPFHK	0	0	0	0	1
3300027571_6	0	0	0	0	2
TARA_SAMEA2620081_METAG_CGDDMMPH	2	0	0	0	0
3300013093_14	0	0	3	2	1
3300027733_13	1	1	0	0	0
MALA_SAMN05422133_METAG_FNEHNFBK	1	1	0	0	1
3300012843_2	0	3	2	2	2
3300011201_1	1	1	6	0	0
TARA_SAMEA2621155_METAG_EECICDMG	2	0	0	0	2
MARD_SAMD00036599_REFG_MMP00036599	0	1	0	0	0
MARD_SAMN08886211_SAGS_MMP08886211	0	1	0	0	3
TARA_SAMEA2622822_METAG_CEIMONIJ	0	0	0	0	1
TARA_SAMEA4397255_METAG_FLBHNPFD	2	1	1	0	1
3300020472_21	2	0	1	2	0
3300027850_25	0	0	0	0	2
TARA_SAMEA4397174_METAG_KKANMIML	0	0	0	0	1
TARA_SAMEA4398238_METAG_KPHFHLOE	0	1	3	3	2
TARA_SAMEA2591122_METAG_DMFPMGJF	0	0	0	0	1
TARA_SAMEA2622696_METAG_GBGJNBME	3	0	0	0	0
3300020203_27	0	0	0	1	1
TARA_SAMEA2622733_METAG_ODBECIDH	0	0	1	0	2
TARA_SAMEA4397101_METAG_NAJHINJB	0	0	0	0	1
TARA_SAMN05326644_METAG_PON00004	1	1	2	0	0
MARD_SAMN08886148_SAGS_MMP08886148	0	1	0	0	3
3300013137_79	1	0	0	0	0
TARA_SAMEA4397569_METAG_MPAIHAHE	1	0	0	0	0
TARA_SAMEA2619677_METAG_GGPMHKAL	0	1	2	0	0
TARA_SAMEA2623295_METAG_DAILCLPL	4	0	0	1	0
3300025579_10	1	0	0	1	1
3300013128_17	0	1	0	0	0
TARA_SAMEA2619815_METAG_MBLFNBKD	0	1	0	0	1
3300014630_1	1	2	3	0	1
3300012950_11	2	1	1	0	2
3300011583_2	1	1	1	0	1
3300027970_19	0	1	2	0	1
TARA_SAMEA2620081_METAG_PCGNKBON	0	0	0	0	1
TARA_SAMEA4397409_METAG_PELODJGM	4	2	0	0	1
TARA_SAMEA4397798_METAG_JLLDCABA	1	2	0	0	2
TARA_SAMN05326645_METAG_PSE00004	4	0	2	0	1
TARA_SAMEA2619992_METAG_NHNKBEME	1	1	0	0	1
3300011931_1	1	0	0	0	0
3300013702_3	1	0	1	0	0
TARA_SAMEA2621075_METAG_CCCFLJIM	2	0	0	0	0
3300021338_15	5	0	0	0	0
3300025183_3	1	0	1	0	1
TARA_SAMEA2621222_METAG_ICAHACJH	0	0	1	0	1
TARA_SAMEA4398094_METAG_JECLGJDH	0	0	0	0	1
3300027282_3	5	3	0	2	1
TARA_SAMEA2619903_METAG_DPEJDILF	1	1	0	0	1
3300020455_9	0	3	0	0	0
3300012840_3	7	0	1	0	1
TARA_SAMEA4397705_METAG_ODDHKJJE	1	0	0	0	2
GORG_SAMEA6073401_SAGS_AG912L10	0	0	0	0	1
3300014153_10	4	0	0	0	0
TARA_SAMEA2621222_METAG_JFBGBJDD	1	0	0	0	0
GORG_SAMEA6073623_SAGS_AG913N11	1	0	0	0	1
GORG_SAMEA6070354_SAGS_AG895G15	0	0	0	0	1
3300027832_15	0	0	1	1	3
3300025037_1	0	1	0	0	0
3300012879_7	3	2	0	0	1
3300017788_72	0	0	0	0	3
3300011900_2	4	0	1	2	1
TARA_SAMEA2623627_METAG_HFKAGMMI	2	0	0	0	0
TARA_SAMEA4397239_METAG_LNCEEDGJ	0	0	0	0	2
TARA_SAMEA2621176_METAG_DCJMIKAH	0	0	0	0	1
3300012259_4	3	1	1	0	1
3300017988_26	0	0	0	0	2
3300025659_21	1	0	0	0	0
3300025211_1	1	0	1	0	2
3300013138_99	1	0	0	0	0
TARA_SAMEA4397278_METAG_IPKPHEIJ	0	1	0	0	1
TARA_SAMEA2621502_METAG_EPNJGPCL	1	0	0	1	0
3300011522_4	0	3	0	0	0
TARA_SAMEA2619677_METAG_CHAHPNEN	0	0	4	3	1
3300018423_16	1	0	2	2	2
3300018405_7	1	0	1	1	0
3300020423_9	4	0	0	1	0
TARA_SAMEA2623756_METAG_KGLCBGOK	0	1	0	0	3
GORG_SAMEA6079903_SAGS_AG430K07	0	0	0	0	1
3300012799_1	4	0	2	1	1
TARA_SAMEA2622738_METAG_FBHIFEHA	3	0	0	0	0
TARA_SAMEA2619766_METAG_BLLGPJEI	1	0	0	0	0
TARA_SAMEA4397948_METAG_DLHAEHMG	2	1	0	0	0
3300027965_29	1	2	2	1	1
3300013703_1	3	0	2	0	0
GORG_SAMEA6072433_SAGS_AG908A02	0	0	0	0	2
3300025086_6	0	0	0	0	1
TARA_SAMEA2621254_METAG_GJMCIBMO	0	0	0	0	1
TARA_SAMEA4397255_METAG_EPFKBAKD	3	0	0	0	0
3300017788_33	1	0	0	1	3
3300026196_11	1	0	0	0	0
3300027224_4	0	0	0	0	1
3300011896_1	0	3	2	0	0
3300025240_10	2	0	0	0	0
TARA_SAMEA2622843_METAG_HMLKNLLC	0	0	0	0	1
MARD_SAMN10319551_REFG_MMP10319551	2	1	1	0	0
3300025809_26	1	1	0	0	2
BGEO_SAMN07136679_METAG_HBLGIPON	1	0	1	1	0
TARA_SAMEA2620106_METAG_AFNJKAOM	0	0	0	0	1
GORG_SAMEA6069909_SAGS_AG893E23	0	0	0	0	1
3300014073_5	0	1	0	0	0
3300027848_52	2	1	2	1	1
GORG_SAMEA6074582_SAGS_AG918F23	0	0	0	0	1
MARD_SAMN08886151_SAGS_MMP08886151	0	1	0	0	3
MARD_SAMEA2594004_REFG_MMP2594004	5	2	0	0	0
GORG_SAMEA6070481_SAGS_AG896A16	0	0	0	1	2
3300010399_13	3	0	1	0	3
TARA_SAMEA2619791_METAG_DBIBEMEO	1	1	0	0	0
3300013130_56	0	0	0	0	1
MARD_SAMN04488047_REFG_MMP04488047	3	0	0	0	3
3300011538_1	1	1	4	0	0
TARA_SAMN05326645_METAG_PSE00045	0	0	0	0	1
TARA_SAMEA2622696_METAG_MPKBNFFE	1	1	2	1	0
TARA_SAMEA4397196_METAG_DPMGKJHI	0	0	0	0	2
TARA_SAMEA4398360_METAG_MHKMMONG	1	1	0	1	1
3300024949_3	3	0	0	0	1
3300011492_1	1	1	1	0	1
TARA_SAMEA4397051_METAG_IAALIPLJ	0	0	0	1	0
GORG_SAMEA6071198_SAGS_AG899O04	0	0	0	0	1
TARA_SAMEA2619667_METAG_EPAHHIOL	0	0	0	0	2
TARA_SAMEA2621020_METAG_DGKNMHLE	0	1	0	0	0
MARD_SAMN08886198_SAGS_MMP08886198	0	1	0	0	2
TARA_SAMEA2622219_METAG_GIOFANNH	0	0	0	0	1
3300025405_1	0	0	1	0	1
TARA_SAMEA2622696_METAG_CNHJOMIH	1	0	1	0	1
3300011583_3	6	0	1	0	1
3300011548_2	4	1	3	0	0
TARA_SAMEA2622499_METAG_GGEKANHA	0	0	0	0	2
3300011233_2	1	1	0	0	0
GORG_SAMEA6068064_SAGS_AH324K07	0	0	0	0	1
MARD_SAMN08886306_SAGS_MMP08886306	0	2	0	0	3
MARD_SAMN08886139_SAGS_MMP08886139	0	0	0	0	3
GORG_SAMEA6076607_SAGS_AG447L14	0	0	0	0	2
3300027323_27	0	0	0	0	1
TARA_SAMEA2623488_METAG_MNDCDHOL	0	0	0	0	2
MARD_SAMN08886257_SAGS_MMP08886257	0	1	0	0	2
MARD_SAMN05418113_REFG_MMP05418113	5	1	1	0	0
3300017788_30	0	0	1	1	1
3300020353_8	1	0	0	0	0
GORG_SAMEA6073446_SAGS_AG912P01	0	0	0	0	1
TARA_SAMEA4398176_METAG_LIGBHBCI	0	0	0	0	2
3300013006_7	3	5	6	7	2
3300017998_18	0	1	0	0	1
3300011852_3	0	1	0	0	0
3300013010_12	1	0	0	0	1
MARD_SAMN04489723_REFG_MMP04489723	1	0	1	1	3
3300011918_7	0	0	0	0	1
TARA_SAMEA4398387_METAG_PECOCOFK	0	2	0	0	1
3300014602_1	1	0	0	0	1
MARD_SAMN08886507_SAGS_MMP08886507	0	1	0	0	2
GORG_SAMEA6075792_SAGS_AG390M02	0	0	0	0	1
3300020182_17	1	0	0	1	2
